time            Br              Bs              Yi              Yj             
3.346693387e+03 8.179529874e+00 3.707547411e+00 3.401110483e-03 6.802220966e-09
3.356713427e+03 8.179554444e+00 3.707599125e+00 3.323137013e-03 6.646274025e-09
3.366733467e+03 8.179578452e+00 3.707649653e+00 3.246950516e-03 6.493901032e-09
3.376753507e+03 8.179601910e+00 3.707699023e+00 3.172510560e-03 6.345021120e-09
3.386773547e+03 8.179624829e+00 3.707747261e+00 3.099776934e-03 6.199553868e-09
3.396793587e+03 8.179647224e+00 3.707794394e+00 3.028710444e-03 6.057420888e-09
3.406813627e+03 8.179669106e+00 3.707840446e+00 2.959272833e-03 5.918545665e-09
3.416833667e+03 8.179690486e+00 3.707885442e+00 2.891426687e-03 5.782853375e-09
3.426853707e+03 8.179711376e+00 3.707929407e+00 2.825135804e-03 5.650271608e-09
3.436873747e+03 8.179731788e+00 3.707972363e+00 2.760364802e-03 5.520729605e-09
3.446893788e+03 8.179751731e+00 3.708014335e+00 2.697078560e-03 5.394157120e-09
3.456913828e+03 8.179771218e+00 3.708055345e+00 2.635243002e-03 5.270486003e-09
3.466933868e+03 8.179790258e+00 3.708095415e+00 2.574824802e-03 5.149649604e-09
3.476953908e+03 8.179808862e+00 3.708134566e+00 2.515791360e-03 5.031582720e-09
3.486973948e+03 8.179827039e+00 3.708172819e+00 2.458111202e-03 4.916222404e-09
3.496993988e+03 8.179844800e+00 3.708210196e+00 2.401753691e-03 4.803507382e-09
3.507014028e+03 8.179862154e+00 3.708246715e+00 2.346688128e-03 4.693376256e-09
3.517034068e+03 8.179879110e+00 3.708282398e+00 2.292884846e-03 4.585769692e-09
3.527054108e+03 8.179895677e+00 3.708317262e+00 2.240314829e-03 4.480629657e-09
3.537074148e+03 8.179911865e+00 3.708351327e+00 2.188949689e-03 4.377899377e-09
3.547094188e+03 8.179927682e+00 3.708384611e+00 2.138762015e-03 4.277524029e-09
3.557114228e+03 8.179943136e+00 3.708417132e+00 2.089725256e-03 4.179450512e-09
3.567134269e+03 8.179958236e+00 3.708448907e+00 2.041812633e-03 4.083625266e-09
3.577154309e+03 8.179972990e+00 3.708479954e+00 1.994998332e-03 3.989996664e-09
3.587174349e+03 8.179987405e+00 3.708510289e+00 1.949257107e-03 3.898514215e-09
3.597194389e+03 8.180001491e+00 3.708539929e+00 1.904564265e-03 3.809128531e-09
3.607214429e+03 8.180015253e+00 3.708568890e+00 1.860895915e-03 3.721791829e-09
3.617234469e+03 8.180028700e+00 3.708597186e+00 1.818229006e-03 3.636458013e-09
3.627254509e+03 8.180041839e+00 3.708624834e+00 1.776540236e-03 3.553080472e-09
3.637274549e+03 8.180054677e+00 3.708651847e+00 1.735807157e-03 3.471614313e-09
3.647294589e+03 8.180067220e+00 3.708678242e+00 1.696007818e-03 3.392015635e-09
3.657314629e+03 8.180079476e+00 3.708704031e+00 1.657120752e-03 3.314241505e-09
3.667334669e+03 8.180091451e+00 3.708729229e+00 1.619125126e-03 3.238250252e-09
3.677354709e+03 8.180103152e+00 3.708753849e+00 1.582000856e-03 3.164001712e-09
3.687374749e+03 8.180114584e+00 3.708777905e+00 1.545727705e-03 3.091455411e-09
3.697394790e+03 8.180125754e+00 3.708801409e+00 1.510286143e-03 3.020572286e-09
3.707414830e+03 8.180136669e+00 3.708824374e+00 1.475657069e-03 2.951314138e-09
3.717434870e+03 8.180147333e+00 3.708846813e+00 1.441821802e-03 2.883643605e-09
3.727454910e+03 8.180157752e+00 3.708868738e+00 1.408762190e-03 2.817524380e-09
3.737474950e+03 8.180167933e+00 3.708890159e+00 1.376460794e-03 2.752921589e-09
3.747494990e+03 8.180177880e+00 3.708911090e+00 1.344899984e-03 2.689799968e-09
3.757515030e+03 8.180187599e+00 3.708931540e+00 1.314062758e-03 2.628125515e-09
3.767535070e+03 8.180197096e+00 3.708951522e+00 1.283932487e-03 2.567864975e-09
3.777555110e+03 8.180206375e+00 3.708971046e+00 1.254492908e-03 2.508985817e-09
3.787575150e+03 8.180215441e+00 3.708990122e+00 1.225728234e-03 2.451456468e-09
3.797595190e+03 8.180224299e+00 3.709008760e+00 1.197623475e-03 2.395246950e-09
3.807615230e+03 8.180232954e+00 3.709026971e+00 1.170163147e-03 2.340326295e-09
3.817635271e+03 8.180241411e+00 3.709044765e+00 1.143332449e-03 2.286664899e-09
3.827655311e+03 8.180249673e+00 3.709062150e+00 1.117116903e-03 2.234233806e-09
3.837675351e+03 8.180257747e+00 3.709079137e+00 1.091502341e-03 2.183004683e-09
3.847695391e+03 8.180265635e+00 3.709095735e+00 1.066474899e-03 2.132949797e-09
3.857715431e+03 8.180273343e+00 3.709111952e+00 1.042021204e-03 2.084042409e-09
3.867735471e+03 8.180280873e+00 3.709127797e+00 1.018128665e-03 2.036257329e-09
3.877755511e+03 8.180288231e+00 3.709143278e+00 9.947839721e-04 1.989567944e-09
3.887775551e+03 8.180295421e+00 3.709158405e+00 9.719745323e-04 1.943949065e-09
3.897795591e+03 8.180302445e+00 3.709173184e+00 9.496880236e-04 1.899376047e-09
3.907815631e+03 8.180309309e+00 3.709187625e+00 9.279123886e-04 1.855824777e-09
3.917835671e+03 8.180316015e+00 3.709201735e+00 9.066358245e-04 1.813271649e-09
3.927855711e+03 8.180322567e+00 3.709215522e+00 8.858470144e-04 1.771694029e-09
3.937875752e+03 8.180328969e+00 3.709228992e+00 8.655352688e-04 1.731070538e-09
3.947895792e+03 8.180335225e+00 3.709242153e+00 8.456892422e-04 1.691378484e-09
3.957915832e+03 8.180341337e+00 3.709255013e+00 8.262982309e-04 1.652596462e-09
3.967935872e+03 8.180347309e+00 3.709267577e+00 8.073517650e-04 1.614703530e-09
3.977955912e+03 8.180353144e+00 3.709279854e+00 7.888396012e-04 1.577679202e-09
3.987975952e+03 8.180358845e+00 3.709291849e+00 7.707517152e-04 1.541503430e-09
3.997995992e+03 8.180364415e+00 3.709303569e+00 7.530785081e-04 1.506157016e-09
4.008016032e+03 8.180369858e+00 3.709315021e+00 7.358108073e-04 1.471621615e-09
4.018036072e+03 8.180375176e+00 3.709326210e+00 7.189390253e-04 1.437878051e-09
4.028056112e+03 8.180380372e+00 3.709337142e+00 7.024540684e-04 1.404908137e-09
4.038076152e+03 8.180385449e+00 3.709347823e+00 6.863470428e-04 1.372694086e-09
4.048096192e+03 8.180390410e+00 3.709358260e+00 6.706092484e-04 1.341218497e-09
4.058116232e+03 8.180395257e+00 3.709368458e+00 6.552321721e-04 1.310464344e-09
4.068136273e+03 8.180399992e+00 3.709378421e+00 6.402076647e-04 1.280415329e-09
4.078156313e+03 8.180404619e+00 3.709388156e+00 6.255278603e-04 1.251055721e-09
4.088176353e+03 8.180409140e+00 3.709397668e+00 6.111846522e-04 1.222369304e-09
4.098196393e+03 8.180413558e+00 3.709406962e+00 5.971703096e-04 1.194340619e-09
4.108216433e+03 8.180417874e+00 3.709416043e+00 5.834772711e-04 1.166954542e-09
4.118236473e+03 8.180422091e+00 3.709424915e+00 5.700981387e-04 1.140196277e-09
4.128256513e+03 8.180426212e+00 3.709433585e+00 5.570256726e-04 1.114051345e-09
4.138276553e+03 8.180430238e+00 3.709442055e+00 5.442529690e-04 1.088505938e-09
4.148296593e+03 8.180434171e+00 3.709450331e+00 5.317733154e-04 1.063546631e-09
4.158316633e+03 8.180438015e+00 3.709458418e+00 5.195798222e-04 1.039159644e-09
4.168336673e+03 8.180441770e+00 3.709466318e+00 5.076659136e-04 1.015331827e-09
4.178356713e+03 8.180445439e+00 3.709474038e+00 4.960251566e-04 9.920503132e-10
4.188376754e+03 8.180449024e+00 3.709481580e+00 4.846512562e-04 9.693025124e-10
4.198396794e+03 8.180452527e+00 3.709488950e+00 4.735380507e-04 9.470761014e-10
4.208416834e+03 8.180455950e+00 3.709496150e+00 4.626797630e-04 9.253595260e-10
4.218436874e+03 8.180459294e+00 3.709503186e+00 4.520706939e-04 9.041413878e-10
4.228456914e+03 8.180462561e+00 3.709510060e+00 4.417049238e-04 8.834098476e-10
4.238476954e+03 8.180465753e+00 3.709516776e+00 4.315768560e-04 8.631537121e-10
4.248496994e+03 8.180468873e+00 3.709523339e+00 4.216810135e-04 8.433620269e-10
4.258517034e+03 8.180471920e+00 3.709529751e+00 4.120120341e-04 8.240240681e-10
4.268537074e+03 8.180474898e+00 3.709536016e+00 4.025646667e-04 8.051293334e-10
4.278557114e+03 8.180477808e+00 3.709542138e+00 3.933337669e-04 7.866675339e-10
4.288577154e+03 8.180480651e+00 3.709548120e+00 3.843145982e-04 7.686291963e-10
4.298597194e+03 8.180483429e+00 3.709553964e+00 3.755025581e-04 7.510051162e-10
