time            Cj              shCj           
7.414829659e+02 4.629839037e-01 4.629839037e-01
7.434869739e+02 4.620351442e-01 4.620351442e-01
7.454909820e+02 4.610902648e-01 4.610902648e-01
7.474949900e+02 4.601492419e-01 4.601492419e-01
7.494989980e+02 4.592120521e-01 4.592120521e-01
7.515030060e+02 4.582786723e-01 4.582786723e-01
7.535070140e+02 4.573490798e-01 4.573490798e-01
7.555110220e+02 4.564232514e-01 4.564232514e-01
7.575150301e+02 4.555011634e-01 4.555011634e-01
7.595190381e+02 4.545827929e-01 4.545827929e-01
7.615230461e+02 4.536681178e-01 4.536681178e-01
7.635270541e+02 4.527571159e-01 4.527571159e-01
7.655310621e+02 4.518497654e-01 4.518497654e-01
7.675350701e+02 4.509460445e-01 4.509460445e-01
7.695390782e+02 4.500459318e-01 4.500459318e-01
7.715430862e+02 4.491494063e-01 4.491494063e-01
7.735470942e+02 4.482564466e-01 4.482564466e-01
7.755511022e+02 4.473670305e-01 4.473670305e-01
7.775551102e+02 4.464811369e-01 4.464811369e-01
7.795591182e+02 4.455987449e-01 4.455987449e-01
7.815631263e+02 4.447198339e-01 4.447198339e-01
7.835671343e+02 4.438443834e-01 4.438443834e-01
7.855711423e+02 4.429723729e-01 4.429723729e-01
7.875751503e+02 4.421037824e-01 4.421037824e-01
7.895791583e+02 4.412385919e-01 4.412385919e-01
7.915831663e+02 4.403767814e-01 4.403767814e-01
7.935871743e+02 4.395183309e-01 4.395183309e-01
7.955911824e+02 4.386632209e-01 4.386632209e-01
7.975951904e+02 4.378114318e-01 4.378114318e-01
7.995991984e+02 4.369629444e-01 4.369629444e-01
8.016032064e+02 4.361177394e-01 4.361177394e-01
8.036072144e+02 4.352757981e-01 4.352757981e-01
8.056112224e+02 4.344371016e-01 4.344371016e-01
8.076152305e+02 4.336016311e-01 4.336016311e-01
8.096192385e+02 4.327693683e-01 4.327693683e-01
8.116232465e+02 4.319402944e-01 4.319402944e-01
8.136272545e+02 4.311143909e-01 4.311143909e-01
8.156312625e+02 4.302916399e-01 4.302916399e-01
8.176352705e+02 4.294720231e-01 4.294720231e-01
8.196392786e+02 4.286555228e-01 4.286555228e-01
