time            shCj            shCk            shBr           
1.905811623e+03 3.152650122e+00 3.155411652e+00 1.411013545e-06
1.911823647e+03 3.152650151e+00 3.155411683e+00 1.330898836e-06
1.917835671e+03 3.152650179e+00 3.155411712e+00 1.255431629e-06
1.923847695e+03 3.152650204e+00 3.155411740e+00 1.184311319e-06
1.929859719e+03 3.152650228e+00 3.155411766e+00 1.117239260e-06
1.935871743e+03 3.152650251e+00 3.155411790e+00 1.053916303e-06
1.941883768e+03 3.152650273e+00 3.155411813e+00 9.940403292e-07
1.947895792e+03 3.152650293e+00 3.155411835e+00 9.374788954e-07
1.953907816e+03 3.152650313e+00 3.155411856e+00 8.845166236e-07
1.959919840e+03 3.152650331e+00 3.155411875e+00 8.345754760e-07
1.965931864e+03 3.152650348e+00 3.155411893e+00 7.874587036e-07
1.971943888e+03 3.152650364e+00 3.155411910e+00 7.429745426e-07
1.977955912e+03 3.152650379e+00 3.155411927e+00 7.009349778e-07
1.983967936e+03 3.152650393e+00 3.155411942e+00 6.611545073e-07
1.989979960e+03 3.152650407e+00 3.155411956e+00 6.234957598e-07
1.995991984e+03 3.152650420e+00 3.155411970e+00 5.881564098e-07
2.002004008e+03 3.152650432e+00 3.155411983e+00 5.547917342e-07
2.008016032e+03 3.152650443e+00 3.155411995e+00 5.232880529e-07
2.014028056e+03 3.152650454e+00 3.155412007e+00 4.935387149e-07
2.020040080e+03 3.152650464e+00 3.155412017e+00 4.654435157e-07
2.026052104e+03 3.152650473e+00 3.155412028e+00 4.389081142e-07
2.032064128e+03 3.152650482e+00 3.155412037e+00 4.138438108e-07
2.038076152e+03 3.152650491e+00 3.155412046e+00 3.902086609e-07
2.044088176e+03 3.152650499e+00 3.155412055e+00 3.679048192e-07
2.050100200e+03 3.152650507e+00 3.155412063e+00 3.468626005e-07
2.056112224e+03 3.152650514e+00 3.155412071e+00 3.270162931e-07
2.062124248e+03 3.152650521e+00 3.155412078e+00 3.083036388e-07
2.068136273e+03 3.152650527e+00 3.155412085e+00 2.906653131e-07
2.074148297e+03 3.152650533e+00 3.155412091e+00 2.740444053e-07
2.080160321e+03 3.152650539e+00 3.155412097e+00 2.583870924e-07
2.086172345e+03 3.152650544e+00 3.155412103e+00 2.436394388e-07
2.092184369e+03 3.152650549e+00 3.155412108e+00 2.297487661e-07
2.098196393e+03 3.152650554e+00 3.155412113e+00 2.166628761e-07
2.104208417e+03 3.152650558e+00 3.155412118e+00 2.043294202e-07
2.110220441e+03 3.152650562e+00 3.155412123e+00 1.926953813e-07
2.116232465e+03 3.152650566e+00 3.155412127e+00 1.817065560e-07
2.122244489e+03 3.152650570e+00 3.155412131e+00 1.718669210e-07
2.128256513e+03 3.152650573e+00 3.155412134e+00 1.628929182e-07
2.134268537e+03 3.152650576e+00 3.155412137e+00 1.545944544e-07
2.140280561e+03 3.152650579e+00 3.155412140e+00 1.469316031e-07
2.146292585e+03 3.152650581e+00 3.155412143e+00 1.398622061e-07
2.152304609e+03 3.152650584e+00 3.155412146e+00 1.333413981e-07
2.158316633e+03 3.152650586e+00 3.155412148e+00 1.273211317e-07
2.164328657e+03 3.152650588e+00 3.155412150e+00 1.217497023e-07
2.170340681e+03 3.152650590e+00 3.155412152e+00 1.165712726e-07
2.176352705e+03 3.152650592e+00 3.155412154e+00 1.117253975e-07
2.182364729e+03 3.152650593e+00 3.155412156e+00 1.071465491e-07
2.188376754e+03 3.152650595e+00 3.155412157e+00 1.027636413e-07
2.194388778e+03 3.152650596e+00 3.155412159e+00 9.849955483e-08
2.200400802e+03 3.152650598e+00 3.155412161e+00 9.427066175e-08
2.206412826e+03 3.152650599e+00 3.155412162e+00 8.998635053e-08
2.212424850e+03 3.152650601e+00 3.155412164e+00 8.554855073e-08
2.218436874e+03 3.152650603e+00 3.155412166e+00 8.085962780e-08
2.224448898e+03 3.152650604e+00 3.155412168e+00 7.617793904e-08
2.230460922e+03 3.152650606e+00 3.155412169e+00 7.166087658e-08
2.236472946e+03 3.152650608e+00 3.155412171e+00 6.737967061e-08
2.242484970e+03 3.152650609e+00 3.155412173e+00 6.333531481e-08
2.248496994e+03 3.152650610e+00 3.155412174e+00 5.965678136e-08
2.254509018e+03 3.152650612e+00 3.155412175e+00 5.627916051e-08
2.260521042e+03 3.152650613e+00 3.155412177e+00 5.311729152e-08
2.266533066e+03 3.152650614e+00 3.155412178e+00 5.021590472e-08
2.272545090e+03 3.152650615e+00 3.155412179e+00 4.746382680e-08
2.278557114e+03 3.152650616e+00 3.155412180e+00 4.480616498e-08
2.284569138e+03 3.152650617e+00 3.155412181e+00 4.227388574e-08
2.290581162e+03 3.152650618e+00 3.155412182e+00 3.985232922e-08
2.296593186e+03 3.152650618e+00 3.155412183e+00 3.751230389e-08
2.302605210e+03 3.152650619e+00 3.155412183e+00 3.531874336e-08
2.308617234e+03 3.152650620e+00 3.155412184e+00 3.300555129e-08
2.314629259e+03 3.152650621e+00 3.155412185e+00 3.067909933e-08
