time            Br              Cj              sCj             sBr            
1.104609218e+03 1.401322884e-07 1.200160916e+01 0.000000000e+00 1.000000000e+01
1.108777555e+03 1.302982678e-07 1.200160917e+01 0.000000000e+00 1.000000000e+01
1.112945892e+03 1.211193730e-07 1.200160918e+01 0.000000000e+00 1.000000000e+01
1.117114228e+03 1.124400460e-07 1.200160919e+01 0.000000000e+00 1.000000000e+01
1.121282565e+03 1.043466326e-07 1.200160920e+01 0.000000000e+00 1.000000000e+01
1.125450902e+03 9.681627749e-08 1.200160920e+01 0.000000000e+00 1.000000000e+01
1.129619238e+03 8.983342248e-08 1.200160921e+01 0.000000000e+00 1.000000000e+01
1.133787575e+03 8.338980671e-08 1.200160922e+01 0.000000000e+00 1.000000000e+01
1.137955912e+03 7.748446659e-08 1.200160922e+01 0.000000000e+00 1.000000000e+01
1.142124248e+03 7.191459203e-08 1.200160923e+01 0.000000000e+00 1.000000000e+01
1.146292585e+03 6.665849921e-08 1.200160924e+01 0.000000000e+00 1.000000000e+01
1.150460922e+03 6.177696038e-08 1.200160924e+01 0.000000000e+00 1.000000000e+01
1.154629259e+03 5.725634939e-08 1.200160925e+01 0.000000000e+00 1.000000000e+01
1.158797595e+03 5.308693102e-08 1.200160925e+01 0.000000000e+00 1.000000000e+01
1.162965932e+03 4.926286087e-08 1.200160926e+01 0.000000000e+00 1.000000000e+01
1.167134269e+03 4.578218546e-08 1.200160926e+01 0.000000000e+00 1.000000000e+01
1.171302605e+03 4.237274908e-08 1.200160926e+01 0.000000000e+00 1.000000000e+01
1.175470942e+03 3.932927182e-08 1.200160927e+01 0.000000000e+00 1.000000000e+01
1.179639279e+03 3.649475071e-08 1.200160927e+01 0.000000000e+00 1.000000000e+01
1.183807615e+03 3.386469062e-08 1.200160927e+01 0.000000000e+00 1.000000000e+01
1.187975952e+03 3.143459643e-08 1.200160927e+01 0.000000000e+00 1.000000000e+01
1.192144289e+03 2.919997304e-08 1.200160928e+01 0.000000000e+00 1.000000000e+01
1.196312625e+03 2.713465332e-08 1.200160928e+01 0.000000000e+00 1.000000000e+01
1.200480962e+03 2.514024410e-08 1.200160928e+01 0.000000000e+00 1.000000000e+01
1.204649299e+03 2.329105898e-08 1.200160928e+01 0.000000000e+00 1.000000000e+01
1.208817635e+03 2.157941508e-08 1.200160928e+01 0.000000000e+00 1.000000000e+01
1.212985972e+03 1.999762953e-08 1.200160929e+01 0.000000000e+00 1.000000000e+01
1.217154309e+03 1.853801946e-08 1.200160929e+01 0.000000000e+00 1.000000000e+01
1.221322645e+03 1.719290200e-08 1.200160929e+01 0.000000000e+00 1.000000000e+01
1.225490982e+03 1.595459427e-08 1.200160929e+01 0.000000000e+00 1.000000000e+01
1.229659319e+03 1.481541341e-08 1.200160929e+01 0.000000000e+00 1.000000000e+01
1.233827655e+03 1.376767653e-08 1.200160929e+01 0.000000000e+00 1.000000000e+01
1.237995992e+03 1.280370078e-08 1.200160929e+01 0.000000000e+00 1.000000000e+01
1.242164329e+03 1.193178575e-08 1.200160930e+01 0.000000000e+00 1.000000000e+01
1.246332665e+03 1.113623854e-08 1.200160930e+01 0.000000000e+00 1.000000000e+01
1.250501002e+03 1.040718690e-08 1.200160930e+01 0.000000000e+00 1.000000000e+01
1.254669339e+03 9.737422563e-09 1.200160930e+01 0.000000000e+00 1.000000000e+01
1.258837675e+03 9.119737236e-09 1.200160930e+01 0.000000000e+00 1.000000000e+01
1.263006012e+03 8.546922636e-09 1.200160930e+01 0.000000000e+00 1.000000000e+01
1.267174349e+03 8.011770477e-09 1.200160930e+01 0.000000000e+00 1.000000000e+01
1.271342685e+03 7.507072474e-09 1.200160930e+01 0.000000000e+00 1.000000000e+01
1.275511022e+03 7.025620342e-09 1.200160930e+01 0.000000000e+00 1.000000000e+01
1.279679359e+03 6.560205796e-09 1.200160930e+01 0.000000000e+00 1.000000000e+01
