time            Cj              Ck              Br             
1.466933868e+03 4.245589637e+00 2.434449506e+00 3.308237764e-01
1.472945892e+03 4.246909074e+00 2.436733615e+00 3.267651062e-01
1.478957916e+03 4.248213537e+00 2.438990413e+00 3.227541457e-01
1.484969940e+03 4.249503171e+00 2.441220204e+00 3.187903846e-01
1.490981964e+03 4.250778120e+00 2.443423289e+00 3.148733178e-01
1.496993988e+03 4.252038531e+00 2.445599967e+00 3.110024432e-01
1.503006012e+03 4.253284547e+00 2.447750534e+00 3.071772635e-01
1.509018036e+03 4.254516310e+00 2.449875281e+00 3.033972857e-01
1.515030060e+03 4.255733962e+00 2.451974499e+00 2.996620208e-01
1.521042084e+03 4.256937645e+00 2.454048475e+00 2.959709841e-01
1.527054108e+03 4.258127499e+00 2.456097493e+00 2.923236949e-01
1.533066132e+03 4.259303663e+00 2.458121835e+00 2.887196770e-01
1.539078156e+03 4.260466275e+00 2.460121779e+00 2.851584579e-01
1.545090180e+03 4.261615473e+00 2.462097603e+00 2.816395696e-01
1.551102204e+03 4.262751394e+00 2.464049578e+00 2.781625482e-01
1.557114228e+03 4.263874173e+00 2.465977977e+00 2.747269331e-01
1.563126253e+03 4.264983944e+00 2.467883068e+00 2.713322691e-01
1.569138277e+03 4.266080842e+00 2.469765116e+00 2.679781044e-01
1.575150301e+03 4.267164999e+00 2.471624383e+00 2.646639918e-01
1.581162325e+03 4.268236547e+00 2.473461129e+00 2.613894876e-01
1.587174349e+03 4.269295618e+00 2.475275614e+00 2.581541514e-01
1.593186373e+03 4.270342340e+00 2.477068092e+00 2.549575484e-01
1.599198397e+03 4.271376844e+00 2.478838815e+00 2.517992476e-01
1.605210421e+03 4.272399256e+00 2.480588033e+00 2.486788217e-01
1.611222445e+03 4.273409705e+00 2.482315993e+00 2.455958473e-01
1.617234469e+03 4.274408316e+00 2.484022941e+00 2.425499034e-01
1.623246493e+03 4.275395215e+00 2.485709120e+00 2.395405757e-01
1.629258517e+03 4.276370524e+00 2.487374768e+00 2.365674530e-01
1.635270541e+03 4.277334369e+00 2.489020122e+00 2.336301281e-01
1.641282565e+03 4.278286870e+00 2.490645418e+00 2.307281966e-01
1.647294589e+03 4.279228149e+00 2.492250891e+00 2.278612574e-01
1.653306613e+03 4.280158327e+00 2.493836769e+00 2.250289158e-01
1.659318637e+03 4.281077521e+00 2.495403279e+00 2.222307799e-01
1.665330661e+03 4.281985852e+00 2.496950647e+00 2.194664620e-01
1.671342685e+03 4.282883435e+00 2.498479096e+00 2.167355764e-01
1.677354709e+03 4.283770387e+00 2.499988849e+00 2.140377411e-01
