time            A               B               Y              
3.747494990e+03 1.557017736e-05 1.444036250e+01 1.478476619e-03
3.757515030e+03 1.497248311e-05 1.444046382e+01 1.432705613e-03
3.767535070e+03 1.439832151e-05 1.444056205e+01 1.388331282e-03
3.777555110e+03 1.384687290e-05 1.444065728e+01 1.345312934e-03
3.787575150e+03 1.331327334e-05 1.444074960e+01 1.303609178e-03
3.797595190e+03 1.279462012e-05 1.444083911e+01 1.263179204e-03
3.807615230e+03 1.229927159e-05 1.444092589e+01 1.223986718e-03
3.817635271e+03 1.183024269e-05 1.444101000e+01 1.185995235e-03
3.827655311e+03 1.137625254e-05 1.444109154e+01 1.149166736e-03
3.837675351e+03 1.093381386e-05 1.444117059e+01 1.113465727e-03
3.847695391e+03 1.051377788e-05 1.444124722e+01 1.078860347e-03
3.857715431e+03 1.010934032e-05 1.444132150e+01 1.045316437e-03
3.867735471e+03 9.720172000e-06 1.444139350e+01 1.012801273e-03
