time            Cj              shCj           
9.158316633e+02 2.380079968e-01 2.380079968e-01
9.178356713e+02 2.375462170e-01 2.375462170e-01
9.198396794e+02 2.370862258e-01 2.370862258e-01
9.218436874e+02 2.366280128e-01 2.366280128e-01
9.238476954e+02 2.361715678e-01 2.361715678e-01
9.258517034e+02 2.357168805e-01 2.357168805e-01
9.278557114e+02 2.352639409e-01 2.352639409e-01
9.298597194e+02 2.348127390e-01 2.348127390e-01
9.318637275e+02 2.343632647e-01 2.343632647e-01
9.338677355e+02 2.339155080e-01 2.339155080e-01
9.358717435e+02 2.334694590e-01 2.334694590e-01
9.378757515e+02 2.330251079e-01 2.330251079e-01
9.398797595e+02 2.325824451e-01 2.325824451e-01
9.418837675e+02 2.321414608e-01 2.321414608e-01
9.438877756e+02 2.317021455e-01 2.317021455e-01
9.458917836e+02 2.312644896e-01 2.312644896e-01
9.478957916e+02 2.308284837e-01 2.308284837e-01
9.498997996e+02 2.303941185e-01 2.303941185e-01
9.519038076e+02 2.299613846e-01 2.299613846e-01
9.539078156e+02 2.295302729e-01 2.295302729e-01
9.559118236e+02 2.291007741e-01 2.291007741e-01
9.579158317e+02 2.286728793e-01 2.286728793e-01
9.599198397e+02 2.282465794e-01 2.282465794e-01
9.619238477e+02 2.278218656e-01 2.278218656e-01
9.639278557e+02 2.273987294e-01 2.273987294e-01
9.659318637e+02 2.269771619e-01 2.269771619e-01
9.679358717e+02 2.265571547e-01 2.265571547e-01
9.699398798e+02 2.261386991e-01 2.261386991e-01
9.719438878e+02 2.257217868e-01 2.257217868e-01
9.739478958e+02 2.253064041e-01 2.253064041e-01
9.759519038e+02 2.248925557e-01 2.248925557e-01
9.779559118e+02 2.244802243e-01 2.244802243e-01
9.799599198e+02 2.240694019e-01 2.240694019e-01
9.819639279e+02 2.236600807e-01 2.236600807e-01
9.839679359e+02 2.232522528e-01 2.232522528e-01
9.859719439e+02 2.228459103e-01 2.228459103e-01
9.879759519e+02 2.224410451e-01 2.224410451e-01
9.899799599e+02 2.220376484e-01 2.220376484e-01
9.919839679e+02 2.216357112e-01 2.216357112e-01
9.939879760e+02 2.212352250e-01 2.212352250e-01
9.959919840e+02 2.208361826e-01 2.208361826e-01
9.979959920e+02 2.204385768e-01 2.204385768e-01
1.000000000e+03 2.200423999e-01 2.200423999e-01
