time            shCj            shCk           
8.080160321e+02 4.374020154e+01 4.431370601e+01
8.104208417e+02 4.376229979e+01 4.433729056e+01
8.128256513e+02 4.378423221e+01 4.436069820e+01
8.152304609e+02 4.380600065e+01 4.438393090e+01
8.176352705e+02 4.382760693e+01 4.440699058e+01
8.200400802e+02 4.384905282e+01 4.442987913e+01
8.224448898e+02 4.387034011e+01 4.445259843e+01
8.248496994e+02 4.389147051e+01 4.447515033e+01
8.272545090e+02 4.391244576e+01 4.449753665e+01
8.296593186e+02 4.393326754e+01 4.451975918e+01
8.320641283e+02 4.395393752e+01 4.454181970e+01
8.344689379e+02 4.397445734e+01 4.456371995e+01
8.368737475e+02 4.399482863e+01 4.458546164e+01
8.392785571e+02 4.401505297e+01 4.460704649e+01
8.416833667e+02 4.403513195e+01 4.462847615e+01
8.440881764e+02 4.405506711e+01 4.464975229e+01
8.464929860e+02 4.407485999e+01 4.467087653e+01
8.488977956e+02 4.409451211e+01 4.469185047e+01
8.513026052e+02 4.411402494e+01 4.471267570e+01
8.537074148e+02 4.413339997e+01 4.473335378e+01
8.561122244e+02 4.415263863e+01 4.475388625e+01
8.585170341e+02 4.417174237e+01 4.477427464e+01
8.609218437e+02 4.419071258e+01 4.479452044e+01
8.633266533e+02 4.420955066e+01 4.481462513e+01
8.657314629e+02 4.422825798e+01 4.483459017e+01
8.681362725e+02 4.424683590e+01 4.485441699e+01
8.705410822e+02 4.426528575e+01 4.487410703e+01
8.729458918e+02 4.428360885e+01 4.489366168e+01
8.753507014e+02 4.430180649e+01 4.491308232e+01
8.777555110e+02 4.431987997e+01 4.493237032e+01
8.801603206e+02 4.433783055e+01 4.495152704e+01
8.825651303e+02 4.435565948e+01 4.497055379e+01
8.849699399e+02 4.437336798e+01 4.498945189e+01
8.873747495e+02 4.439095728e+01 4.500822263e+01
8.897795591e+02 4.440842857e+01 4.502686728e+01
8.921843687e+02 4.442578303e+01 4.504538711e+01
8.945891784e+02 4.444302185e+01 4.506378337e+01
8.969939880e+02 4.446014616e+01 4.508205728e+01
8.993987976e+02 4.447715711e+01 4.510021005e+01
9.018036072e+02 4.449405583e+01 4.511824289e+01
9.042084168e+02 4.451084342e+01 4.513615696e+01
9.066132265e+02 4.452752098e+01 4.515395345e+01
9.090180361e+02 4.454408959e+01 4.517163350e+01
9.114228457e+02 4.456055031e+01 4.518919825e+01
9.138276553e+02 4.457690420e+01 4.520664881e+01
9.162324649e+02 4.459315229e+01 4.522398630e+01
9.186372745e+02 4.460929562e+01 4.524121180e+01
9.210420842e+02 4.462533520e+01 4.525832641e+01
9.234468938e+02 4.464127203e+01 4.527533119e+01
9.258517034e+02 4.465710710e+01 4.529222718e+01
9.282565130e+02 4.467284138e+01 4.530901544e+01
9.306613226e+02 4.468847584e+01 4.532569698e+01
9.330661323e+02 4.470401143e+01 4.534227283e+01
9.354709419e+02 4.471944909e+01 4.535874399e+01
9.378757515e+02 4.473478975e+01 4.537511144e+01
9.402805611e+02 4.475003433e+01 4.539137616e+01
9.426853707e+02 4.476518372e+01 4.540753911e+01
9.450901804e+02 4.478023882e+01 4.542360125e+01
9.474949900e+02 4.479520052e+01 4.543956353e+01
9.498997996e+02 4.481006969e+01 4.545542686e+01
9.523046092e+02 4.482484718e+01 4.547119217e+01
9.547094188e+02 4.483953386e+01 4.548686037e+01
9.571142285e+02 4.485413056e+01 4.550243236e+01
9.595190381e+02 4.486863812e+01 4.551790902e+01
9.619238477e+02 4.488305735e+01 4.553329122e+01
9.643286573e+02 4.489738906e+01 4.554857984e+01
9.667334669e+02 4.491163406e+01 4.556377572e+01
9.691382766e+02 4.492579314e+01 4.557887971e+01
9.715430862e+02 4.493986707e+01 4.559389264e+01
9.739478958e+02 4.495385663e+01 4.560881534e+01
9.763527054e+02 4.496776258e+01 4.562364862e+01
9.787575150e+02 4.498158568e+01 4.563839329e+01
9.811623246e+02 4.499532668e+01 4.565305014e+01
9.835671343e+02 4.500898630e+01 4.566761996e+01
9.859719439e+02 4.502256528e+01 4.568210353e+01
9.883767535e+02 4.503606434e+01 4.569650160e+01
9.907815631e+02 4.504948419e+01 4.571081495e+01
9.931863727e+02 4.506282552e+01 4.572504433e+01
9.955911824e+02 4.507608905e+01 4.573919046e+01
9.979959920e+02 4.508927544e+01 4.575325410e+01
1.000400802e+03 4.510238538e+01 4.576723595e+01
1.002805611e+03 4.511541954e+01 4.578113674e+01
