time            Cj              Ak              Br             
1.275150301e+04 1.640452108e+00 6.905737965e-01 3.642255348e+00
1.279198397e+04 1.718761624e+00 6.714889399e-01 3.579789039e+00
1.283246493e+04 1.799516967e+00 6.544747760e-01 3.512772818e+00
1.287294589e+04 1.882511269e+00 6.394594496e-01 3.441539066e+00
1.291342685e+04 1.967508283e+00 6.263772925e-01 3.366441741e+00
1.295390782e+04 2.054243237e+00 6.151691262e-01 3.287854087e+00
1.299438878e+04 2.142424278e+00 6.057825052e-01 3.206165833e+00
1.303486974e+04 2.231734531e+00 5.981718921e-01 3.121779923e+00
1.307535070e+04 2.321834628e+00 5.922987755e-01 3.035108965e+00
1.311583166e+04 2.412365650e+00 5.881317456e-01 2.946571359e+00
1.315631263e+04 2.502952577e+00 5.856465365e-01 2.856587213e+00
1.319679359e+04 2.593207979e+00 5.848260278e-01 2.765574146e+00
1.323727455e+04 2.682735915e+00 5.856602188e-01 2.673943175e+00
1.327775551e+04 2.771136116e+00 5.881461724e-01 2.582094547e+00
1.331823647e+04 2.858008056e+00 5.922879306e-01 2.490413943e+00
1.335871743e+04 2.942954759e+00 5.980964053e-01 2.399269140e+00
1.339919840e+04 3.025586769e+00 6.055892334e-01 2.309006777e+00
1.343967936e+04 3.105525690e+00 6.147906030e-01 2.219949768e+00
1.348016032e+04 3.182407168e+00 6.257310350e-01 2.132395103e+00
1.352064128e+04 3.255884133e+00 6.384471480e-01 2.046612440e+00
1.356112224e+04 3.325628668e+00 6.529813025e-01 1.962843053e+00
1.360160321e+04 3.391334329e+00 6.693812995e-01 1.881299158e+00
1.364208417e+04 3.452717620e+00 6.876999313e-01 1.802163968e+00
1.368256513e+04 3.509518936e+00 7.079944721e-01 1.725592278e+00
1.372304609e+04 3.561503464e+00 7.303261120e-01 1.651711165e+00
1.376352705e+04 3.608461531e+00 7.547592797e-01 1.580621269e+00
1.380400802e+04 3.650208733e+00 7.813608747e-01 1.512398263e+00
1.384448898e+04 3.686585874e+00 8.101993843e-01 1.447094580e+00
1.388496994e+04 3.717458703e+00 8.413439156e-01 1.384741228e+00
1.392545090e+04 3.742717611e+00 8.748630052e-01 1.325349952e+00
1.396593186e+04 3.762277285e+00 9.108234423e-01 1.268915199e+00
1.400641283e+04 3.776076014e+00 9.492889094e-01 1.215415943e+00
1.404689379e+04 3.784076240e+00 9.903185489e-01 1.164818219e+00
1.408737475e+04 3.786263081e+00 1.033965271e+00 1.117076496e+00
1.412785571e+04 3.782645152e+00 1.080274188e+00 1.072136024e+00
1.416833667e+04 3.773254057e+00 1.129280814e+00 1.029934404e+00
1.420881764e+04 3.758144489e+00 1.181009305e+00 9.904032644e-01
1.424929860e+04 3.737394310e+00 1.235470620e+00 9.534698065e-01
1.428977956e+04 3.711104663e+00 1.292660765e+00 9.190581688e-01
1.433026052e+04 3.679400111e+00 1.352558968e+00 8.870907553e-01
1.437074148e+04 3.642428712e+00 1.415126064e+00 8.574893396e-01
1.441122244e+04 3.600361937e+00 1.480303051e+00 8.301759815e-01
1.445170341e+04 3.553394658e+00 1.548009809e+00 8.050740003e-01
1.449218437e+04 3.501744557e+00 1.618143921e+00 7.821086918e-01
1.453266533e+04 3.445651676e+00 1.690580010e+00 7.612080088e-01
1.457314629e+04 3.385377448e+00 1.765169260e+00 7.423031087e-01
1.461362725e+04 3.321203461e+00 1.841739345e+00 7.253288324e-01
1.465410822e+04 3.253429912e+00 1.920094735e+00 7.102240859e-01
1.469458918e+04 3.182373702e+00 2.000017406e+00 6.969321630e-01
1.473507014e+04 3.108366119e+00 2.081268020e+00 6.854010110e-01
1.477555110e+04 3.031750334e+00 2.163587431e+00 6.755834156e-01
1.481603206e+04 2.952878532e+00 2.246698627e+00 6.674371519e-01
