time            Cj              Br              Ap              Ck              Aq              Bs             
3.186372745e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.206412826e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.226452906e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.246492986e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.266533066e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.286573146e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.306613226e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.326653307e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.346693387e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.366733467e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.386773547e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.406813627e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.426853707e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.446893788e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.466933868e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.486973948e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.507014028e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.527054108e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.547094188e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.567134269e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.587174349e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.607214429e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.627254509e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.647294589e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.667334669e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.687374749e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.707414830e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.727454910e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.747494990e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.767535070e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.787575150e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.807615230e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.827655311e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.847695391e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.867735471e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.887775551e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.907815631e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.927855711e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.947895792e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.967935872e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
3.987975952e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
4.008016032e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
4.028056112e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
