time            Ak              Br              Cj             
6.806813627e+03 9.192086142e-01 3.154036459e+00 1.486218412e+00
6.827254509e+03 9.050340419e-01 3.132787330e+00 1.495600620e+00
6.847695391e+03 8.911953143e-01 3.111134300e+00 1.505027620e+00
6.868136273e+03 8.776855090e-01 3.089092816e+00 1.514493808e+00
6.888577154e+03 8.644977615e-01 3.066678271e+00 1.523993588e+00
6.909018036e+03 8.516252855e-01 3.043905979e+00 1.533521370e+00
6.929458918e+03 8.390613627e-01 3.020791174e+00 1.543071579e+00
6.949899800e+03 8.267993614e-01 2.997348984e+00 1.552638646e+00
6.970340681e+03 8.148327264e-01 2.973594435e+00 1.562217020e+00
6.990781563e+03 8.031549954e-01 2.949542424e+00 1.571801163e+00
7.011222445e+03 7.917597899e-01 2.925207723e+00 1.581385555e+00
7.031663327e+03 7.806408287e-01 2.900604958e+00 1.590964695e+00
7.052104208e+03 7.697919208e-01 2.875748605e+00 1.600533104e+00
7.072545090e+03 7.592069745e-01 2.850652979e+00 1.610085326e+00
7.092985972e+03 7.488799942e-01 2.825332229e+00 1.619615931e+00
7.113426854e+03 7.388050846e-01 2.799800324e+00 1.629119520e+00
7.133867735e+03 7.289764502e-01 2.774071052e+00 1.638590722e+00
7.154308617e+03 7.193883970e-01 2.748158008e+00 1.648024201e+00
7.174749499e+03 7.100353328e-01 2.722074590e+00 1.657414657e+00
7.195190381e+03 7.009117673e-01 2.695833993e+00 1.666756830e+00
7.215631263e+03 6.920123129e-01 2.669449203e+00 1.676045499e+00
7.236072144e+03 6.833316834e-01 2.642932991e+00 1.685275492e+00
7.256513026e+03 6.748646980e-01 2.616297905e+00 1.694441678e+00
7.276953908e+03 6.666062732e-01 2.589556278e+00 1.703538982e+00
7.297394790e+03 6.585514323e-01 2.562720202e+00 1.712562378e+00
7.317835671e+03 6.506952961e-01 2.535801550e+00 1.721506897e+00
7.338276553e+03 6.430330865e-01 2.508811955e+00 1.730367630e+00
7.358717435e+03 6.355601265e-01 2.481762810e+00 1.739139729e+00
