time            Cj              Br              Ak             
3.462925852e+03 5.145791405e-01 2.338613474e+00 2.645873456e+00
3.477354709e+03 5.130129431e-01 2.387279424e+00 2.600918555e+00
3.491783567e+03 5.118933789e-01 2.435950707e+00 2.555643045e+00
3.506212425e+03 5.112179179e-01 2.484567427e+00 2.510109049e+00
3.520641283e+03 5.109846339e-01 2.533068896e+00 2.464378094e+00
3.535070140e+03 5.111922020e-01 2.581393809e+00 2.418510933e+00
3.549498998e+03 5.118398960e-01 2.629480481e+00 2.372567337e+00
3.563927856e+03 5.129275849e-01 2.677267003e+00 2.326605937e+00
3.578356713e+03 5.144557290e-01 2.724691434e+00 2.280684081e+00
3.592785571e+03 5.164253764e-01 2.771691959e+00 2.234857693e+00
3.607214429e+03 5.188381579e-01 2.818207085e+00 2.189181105e+00
3.621643287e+03 5.216962813e-01 2.864175884e+00 2.143706942e+00
3.636072144e+03 5.250025265e-01 2.909537987e+00 2.098485909e+00
3.650501002e+03 5.287602386e-01 2.954234102e+00 2.053566879e+00
3.664929860e+03 5.329733230e-01 2.998205686e+00 2.008996537e+00
3.679358717e+03 5.376462400e-01 3.041395494e+00 1.964819480e+00
3.693787575e+03 5.427839840e-01 3.083747516e+00 1.921078115e+00
3.708216433e+03 5.483920762e-01 3.125207120e+00 1.877812602e+00
3.722645291e+03 5.544765732e-01 3.165721220e+00 1.835060738e+00
3.737074148e+03 5.610440580e-01 3.205238416e+00 1.792857907e+00
3.751503006e+03 5.681016004e-01 3.243708984e+00 1.751237183e+00
3.765931864e+03 5.756567563e-01 3.281084985e+00 1.710229274e+00
3.780360721e+03 5.837175622e-01 3.317320334e+00 1.669862485e+00
3.794789579e+03 5.922925135e-01 3.352370912e+00 1.630162765e+00
3.809218437e+03 6.013905521e-01 3.386194520e+00 1.591153696e+00
3.823647295e+03 6.110210340e-01 3.418751076e+00 1.552856628e+00
3.838076152e+03 6.211937370e-01 3.450002329e+00 1.515290527e+00
3.852505010e+03 6.319187988e-01 3.479912320e+00 1.478472312e+00
3.866933868e+03 6.432067298e-01 3.508446986e+00 1.442416652e+00
3.881362725e+03 6.550683687e-01 3.535574375e+00 1.407136176e+00
3.895791583e+03 6.675148569e-01 3.561264597e+00 1.372641511e+00
3.910220441e+03 6.805576099e-01 3.585489793e+00 1.338941358e+00
3.924649299e+03 6.942082820e-01 3.608224143e+00 1.306042581e+00
3.939078156e+03 7.084787336e-01 3.629443821e+00 1.273950279e+00
3.953507014e+03 7.233809904e-01 3.649127015e+00 1.242667903e+00
3.967935872e+03 7.389272019e-01 3.667253851e+00 1.212197320e+00
3.982364729e+03 7.551295960e-01 3.683806394e+00 1.182538920e+00
3.996793587e+03 7.720004320e-01 3.698768615e+00 1.153691708e+00
4.011222445e+03 7.895519501e-01 3.712126363e+00 1.125653395e+00
4.025651303e+03 8.077963087e-01 3.723867339e+00 1.098420502e+00
4.040080160e+03 8.267455590e-01 3.733981081e+00 1.071988405e+00
4.054509018e+03 8.464115452e-01 3.742458925e+00 1.046351489e+00
4.068937876e+03 8.668058551e-01 3.749293995e+00 1.021503209e+00
4.083366733e+03 8.879397374e-01 3.754481165e+00 9.974362113e-01
4.097795591e+03 9.098240559e-01 3.758017075e+00 9.741423553e-01
4.112224449e+03 9.324692099e-01 3.759900111e+00 9.516128158e-01
4.126653307e+03 9.558850548e-01 3.760130407e+00 9.298381770e-01
4.141082164e+03 9.800808185e-01 3.758709835e+00 9.088085114e-01
4.155511022e+03 1.005065013e+00 3.755641988e+00 8.885134466e-01
4.169939880e+03 1.030845352e+00 3.750932191e+00 8.689422338e-01
4.184368737e+03 1.057428673e+00 3.744587539e+00 8.500838166e-01
4.198797595e+03 1.084820845e+00 3.736616891e+00 8.319268918e-01
4.213226453e+03 1.113026670e+00 3.727030873e+00 8.144599682e-01
4.227655311e+03 1.142049797e+00 3.715841902e+00 7.976714283e-01
4.242084168e+03 1.171892628e+00 3.703064204e+00 7.815495810e-01
4.256513026e+03 1.202556226e+00 3.688713834e+00 7.660827139e-01
4.270941884e+03 1.234040228e+00 3.672808699e+00 7.512591342e-01
4.285370741e+03 1.266342750e+00 3.655368571e+00 7.370672165e-01
4.299799599e+03 1.299460301e+00 3.636415110e+00 7.234954438e-01
4.314228457e+03 1.333387697e+00 3.615971878e+00 7.105324485e-01
4.328657315e+03 1.368117981e+00 3.594064349e+00 6.981670432e-01
4.343086172e+03 1.403642343e+00 3.570719926e+00 6.863882613e-01
4.357515030e+03 1.439950045e+00 3.545967947e+00 6.751853821e-01
4.371943888e+03 1.477028360e+00 3.519839666e+00 6.645479557e-01
4.386372745e+03 1.514862501e+00 3.492368278e+00 6.544658391e-01
4.400801603e+03 1.553435585e+00 3.463588914e+00 6.449292172e-01
4.415230461e+03 1.592728568e+00 3.433538541e+00 6.359286094e-01
4.429659319e+03 1.632720201e+00 3.402256017e+00 6.274549088e-01
4.444088176e+03 1.673387042e+00 3.369782084e+00 6.194994071e-01
4.458517034e+03 1.714703399e+00 3.336159211e+00 6.120537856e-01
4.472945892e+03 1.756641337e+00 3.301431592e+00 6.051101406e-01
4.487374749e+03 1.799170678e+00 3.265645081e+00 5.986609999e-01
4.501803607e+03 1.842259023e+00 3.228847181e+00 5.926993492e-01
4.516232465e+03 1.885871760e+00 3.191086868e+00 5.872186204e-01
4.530661323e+03 1.929972109e+00 3.152414502e+00 5.822127048e-01
4.545090180e+03 1.974521169e+00 3.112881744e+00 5.776759650e-01
4.559519038e+03 2.019477990e+00 3.072541480e+00 5.736032541e-01
4.573947896e+03 2.064799656e+00 3.031447760e+00 5.699899358e-01
4.588376754e+03 2.110441297e+00 2.989655365e+00 5.668318153e-01
4.602805611e+03 2.156356269e+00 2.947220029e+00 5.641252376e-01
