time            Cj              Ck             
5.248496994e+02 4.497340741e+01 4.935562839e+01
5.266533066e+02 4.498410871e+01 4.936782569e+01
5.284569138e+02 4.499474142e+01 4.937994230e+01
5.302605210e+02 4.500530624e+01 4.939197908e+01
5.320641283e+02 4.501580389e+01 4.940393686e+01
5.338677355e+02 4.502623505e+01 4.941581649e+01
5.356713427e+02 4.503660040e+01 4.942761878e+01
5.374749499e+02 4.504690061e+01 4.943934453e+01
5.392785571e+02 4.505713635e+01 4.945099454e+01
5.410821643e+02 4.506730826e+01 4.946256959e+01
5.428857715e+02 4.507741700e+01 4.947407046e+01
5.446893788e+02 4.508746319e+01 4.948549792e+01
5.464929860e+02 4.509744746e+01 4.949685270e+01
5.482965932e+02 4.510737043e+01 4.950813556e+01
5.501002004e+02 4.511723271e+01 4.951934722e+01
5.519038076e+02 4.512703490e+01 4.953048840e+01
5.537074148e+02 4.513677759e+01 4.954155982e+01
5.555110220e+02 4.514646137e+01 4.955256218e+01
5.573146293e+02 4.515608681e+01 4.956349616e+01
5.591182365e+02 4.516565448e+01 4.957436245e+01
5.609218437e+02 4.517516494e+01 4.958516171e+01
5.627254509e+02 4.518461875e+01 4.959589462e+01
5.645290581e+02 4.519401645e+01 4.960656183e+01
5.663326653e+02 4.520335858e+01 4.961716398e+01
5.681362725e+02 4.521264567e+01 4.962770171e+01
5.699398798e+02 4.522187824e+01 4.963817564e+01
5.717434870e+02 4.523105683e+01 4.964858640e+01
5.735470942e+02 4.524018192e+01 4.965893460e+01
5.753507014e+02 4.524925404e+01 4.966922084e+01
5.771543086e+02 4.525827368e+01 4.967944572e+01
5.789579158e+02 4.526724133e+01 4.968960982e+01
5.807615230e+02 4.527615747e+01 4.969971372e+01
5.825651303e+02 4.528502258e+01 4.970975801e+01
5.843687375e+02 4.529383715e+01 4.971974323e+01
5.861723447e+02 4.530260162e+01 4.972966995e+01
5.879759519e+02 4.531131648e+01 4.973953872e+01
5.897795591e+02 4.531998216e+01 4.974935008e+01
5.915831663e+02 4.532859912e+01 4.975910457e+01
5.933867735e+02 4.533716780e+01 4.976880272e+01
5.951903808e+02 4.534568864e+01 4.977844505e+01
5.969939880e+02 4.535416208e+01 4.978803207e+01
5.987975952e+02 4.536258853e+01 4.979756431e+01
6.006012024e+02 4.537096843e+01 4.980704224e+01
6.024048096e+02 4.537930219e+01 4.981646639e+01
6.042084168e+02 4.538759022e+01 4.982583723e+01
6.060120240e+02 4.539583292e+01 4.983515525e+01
6.078156313e+02 4.540403071e+01 4.984442093e+01
6.096192385e+02 4.541218397e+01 4.985363474e+01
6.114228457e+02 4.542029310e+01 4.986279715e+01
6.132264529e+02 4.542835848e+01 4.987190862e+01
6.150300601e+02 4.543638050e+01 4.988096960e+01
6.168336673e+02 4.544435953e+01 4.988998054e+01
6.186372745e+02 4.545229595e+01 4.989894189e+01
6.204408818e+02 4.546019013e+01 4.990785409e+01
6.222444890e+02 4.546804243e+01 4.991671756e+01
6.240480962e+02 4.547585321e+01 4.992553275e+01
6.258517034e+02 4.548362282e+01 4.993430006e+01
6.276553106e+02 4.549135163e+01 4.994301992e+01
6.294589178e+02 4.549903997e+01 4.995169274e+01
6.312625251e+02 4.550668819e+01 4.996031893e+01
6.330661323e+02 4.551429663e+01 4.996889890e+01
6.348697395e+02 4.552186562e+01 4.997743303e+01
6.366733467e+02 4.552939550e+01 4.998592172e+01
6.384769539e+02 4.553688659e+01 4.999436537e+01
6.402805611e+02 4.554433922e+01 5.000276436e+01
6.420841683e+02 4.555175371e+01 5.001111906e+01
6.438877756e+02 4.555913037e+01 5.001942986e+01
6.456913828e+02 4.556646951e+01 5.002769712e+01
