time            Ap              Aq              Br              Bs              Yi              Yj             
8.476953908e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.496993988e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.517034068e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.537074148e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.557114228e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.577154309e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.597194389e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.617234469e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.637274549e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.657314629e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.677354709e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.697394790e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.717434870e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.737474950e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.757515030e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.777555110e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.797595190e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.817635271e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.837675351e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.857715431e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.877755511e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.897795591e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.917835671e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.937875752e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.957915832e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.977955912e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
8.997995992e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.018036072e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.038076152e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.058116232e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.078156313e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.098196393e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.118236473e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.138276553e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.158316633e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.178356713e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.198396794e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.218436874e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.238476954e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.258517034e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.278557114e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.298597194e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.318637275e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.338677355e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.358717435e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.378757515e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.398797595e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.418837675e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.438877756e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.458917836e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
9.478957916e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
