time            X1              X2              Y1             
3.887775551e+02 2.504398026e+00 1.445673882e+00 3.639372649e-01
3.907815631e+02 2.505569742e+00 1.447623434e+00 3.584186218e-01
3.927855711e+02 2.506725351e+00 1.449544597e+00 3.529794525e-01
3.947895792e+02 2.507865035e+00 1.451437750e+00 3.476187389e-01
3.967935872e+02 2.508988975e+00 1.453303258e+00 3.423354721e-01
3.987975952e+02 2.510097352e+00 1.455141492e+00 3.371286523e-01
4.008016032e+02 2.511190345e+00 1.456952813e+00 3.319972893e-01
4.028056112e+02 2.512268132e+00 1.458737580e+00 3.269404022e-01
4.048096192e+02 2.513330891e+00 1.460496151e+00 3.219570195e-01
4.068136273e+02 2.514378798e+00 1.462228874e+00 3.170461784e-01
4.088176353e+02 2.515412029e+00 1.463936098e+00 3.122069257e-01
4.108216433e+02 2.516430758e+00 1.465618165e+00 3.074383185e-01
4.128256513e+02 2.517435159e+00 1.467275424e+00 3.027394209e-01
4.148296593e+02 2.518425404e+00 1.468908209e+00 2.981093103e-01
4.168336673e+02 2.519401665e+00 1.470516853e+00 2.935470727e-01
4.188376754e+02 2.520364110e+00 1.472101683e+00 2.890517995e-01
4.208416834e+02 2.521312909e+00 1.473663024e+00 2.846225964e-01
4.228456914e+02 2.522248228e+00 1.475201196e+00 2.802585770e-01
4.248496994e+02 2.523170234e+00 1.476716521e+00 2.759588618e-01
4.268537074e+02 2.524079092e+00 1.478209311e+00 2.717225835e-01
4.288577154e+02 2.524974965e+00 1.479679877e+00 2.675488829e-01
4.308617234e+02 2.525858015e+00 1.481128529e+00 2.634369098e-01
4.328657315e+02 2.526728405e+00 1.482555571e+00 2.593858239e-01
4.348697395e+02 2.527586294e+00 1.483961302e+00 2.553947937e-01
4.368737475e+02 2.528431839e+00 1.485346020e+00 2.514629971e-01
4.388777555e+02 2.529265199e+00 1.486710019e+00 2.475896213e-01
4.408817635e+02 2.530086529e+00 1.488053588e+00 2.437738626e-01
4.428857715e+02 2.530895982e+00 1.489377015e+00 2.400149252e-01
4.448897796e+02 2.531693713e+00 1.490680581e+00 2.363120243e-01
4.468937876e+02 2.532479872e+00 1.491964567e+00 2.326643836e-01
4.488977956e+02 2.533254611e+00 1.493229248e+00 2.290712362e-01
4.509018036e+02 2.534018077e+00 1.494474899e+00 2.255318219e-01
4.529058116e+02 2.534770418e+00 1.495701789e+00 2.220453901e-01
4.549098196e+02 2.535511780e+00 1.496910183e+00 2.186112016e-01
4.569138277e+02 2.536242308e+00 1.498100343e+00 2.152285249e-01
4.589178357e+02 2.536962144e+00 1.499272530e+00 2.118966367e-01
4.609218437e+02 2.537671431e+00 1.500427003e+00 2.086148178e-01
4.629258517e+02 2.538370309e+00 1.501564012e+00 2.053823651e-01
4.649298597e+02 2.539058916e+00 1.502683807e+00 2.021985818e-01
4.669338677e+02 2.539737391e+00 1.503786635e+00 1.990627796e-01
4.689378758e+02 2.540405869e+00 1.504872741e+00 1.959742755e-01
4.709418838e+02 2.541064484e+00 1.505942365e+00 1.929323969e-01
4.729458918e+02 2.541713371e+00 1.506995745e+00 1.899364811e-01
4.749498998e+02 2.542352661e+00 1.508033115e+00 1.869858727e-01
4.769539078e+02 2.542982484e+00 1.509054707e+00 1.840799210e-01
4.789579158e+02 2.543602969e+00 1.510060749e+00 1.812179882e-01
