time            sBr             sCj            
4.083366733e+03 3.752651666e+00 1.137271260e-01
4.097795591e+03 3.744107740e+00 1.177129200e-01
4.112224449e+03 3.735287220e+00 1.218318899e-01
4.126653307e+03 3.726182452e+00 1.260880230e-01
4.141082164e+03 3.716785663e+00 1.304853925e-01
4.155511022e+03 3.707088967e+00 1.350281577e-01
4.169939880e+03 3.697084364e+00 1.397205638e-01
4.184368737e+03 3.686763759e+00 1.445669387e-01
4.198797595e+03 3.676118951e+00 1.495716964e-01
4.213226453e+03 3.665141663e+00 1.547393281e-01
4.227655311e+03 3.653823527e+00 1.600744093e-01
4.242084168e+03 3.642156117e+00 1.655815876e-01
4.256513026e+03 3.630130938e+00 1.712655906e-01
4.270941884e+03 3.617739452e+00 1.771312142e-01
4.285370741e+03 3.604973084e+00 1.831833247e-01
4.299799599e+03 3.591823235e+00 1.894268543e-01
4.314228457e+03 3.578281304e+00 1.958667938e-01
4.328657315e+03 3.564338683e+00 2.025081954e-01
4.343086172e+03 3.549986805e+00 2.093561571e-01
4.357515030e+03 3.535217123e+00 2.164158311e-01
4.371943888e+03 3.520021171e+00 2.236924013e-01
4.386372745e+03 3.504390540e+00 2.311910949e-01
4.400801603e+03 3.488316935e+00 2.389171591e-01
4.415230461e+03 3.471792176e+00 2.468758652e-01
4.429659319e+03 3.454808221e+00 2.550724968e-01
4.444088176e+03 3.437357208e+00 2.635123370e-01
4.458517034e+03 3.419431461e+00 2.722006652e-01
4.472945892e+03 3.401023526e+00 2.811427438e-01
4.487374749e+03 3.382126198e+00 2.903438084e-01
4.501803607e+03 3.362732544e+00 2.998090586e-01
4.516232465e+03 3.342835942e+00 3.095436418e-01
4.530661323e+03 3.322430098e+00 3.195526475e-01
4.545090180e+03 3.301509094e+00 3.298410855e-01
4.559519038e+03 3.280067403e+00 3.404138812e-01
4.573947896e+03 3.258099940e+00 3.512758529e-01
4.588376754e+03 3.235602081e+00 3.624317039e-01
4.602805611e+03 3.212569706e+00 3.738860008e-01
4.617234469e+03 3.188999231e+00 3.856431620e-01
4.631663327e+03 3.164887641e+00 3.977074369e-01
4.646092184e+03 3.140232531e+00 4.100828907e-01
4.660521042e+03 3.115032136e+00 4.227733857e-01
4.674949900e+03 3.089285367e+00 4.357825626e-01
4.689378758e+03 3.062991849e+00 4.491138240e-01
4.703807615e+03 3.036151951e+00 4.627703094e-01
4.718236473e+03 3.008766825e+00 4.767548826e-01
4.732665331e+03 2.980838430e+00 4.910701042e-01
4.747094188e+03 2.952369577e+00 5.057182175e-01
4.761523046e+03 2.923363941e+00 5.207011241e-01
4.775951904e+03 2.893826109e+00 5.360203659e-01
4.790380762e+03 2.863761589e+00 5.516771035e-01
4.804809619e+03 2.833176846e+00 5.676720968e-01
4.819238477e+03 2.802079321e+00 5.840056839e-01
