time            Cj              Ck              Br             
1.959919840e+02 1.188192168e+01 4.835342707e+00 9.428719044e-02
1.965931864e+02 1.188266785e+01 4.836405145e+00 9.275154883e-02
1.971943888e+02 1.188340220e+01 4.837450623e+00 9.124077023e-02
1.977955912e+02 1.188412493e+01 4.838479406e+00 8.975445662e-02
1.983967936e+02 1.188483621e+01 4.839491753e+00 8.829221616e-02
1.989979960e+02 1.188553621e+01 4.840487921e+00 8.685366379e-02
1.995991984e+02 1.188622512e+01 4.841468163e+00 8.543842018e-02
2.002004008e+02 1.188690309e+01 4.842432726e+00 8.404611182e-02
2.008016032e+02 1.188757030e+01 4.843381857e+00 8.267637098e-02
2.014028056e+02 1.188822692e+01 4.844315796e+00 8.132883569e-02
2.020040080e+02 1.188887310e+01 4.845234781e+00 8.000314959e-02
2.026052104e+02 1.188950901e+01 4.846139046e+00 7.869896218e-02
2.032064128e+02 1.189013481e+01 4.847028822e+00 7.741592854e-02
2.038076152e+02 1.189075065e+01 4.847904336e+00 7.615370896e-02
2.044088176e+02 1.189135669e+01 4.848765810e+00 7.491196907e-02
2.050100200e+02 1.189195307e+01 4.849613467e+00 7.369037970e-02
2.056112224e+02 1.189253996e+01 4.850447521e+00 7.248861681e-02
2.062124248e+02 1.189311748e+01 4.851268190e+00 7.130635788e-02
2.068136273e+02 1.189368580e+01 4.852075678e+00 7.014329919e-02
2.074148297e+02 1.189424505e+01 4.852870197e+00 6.899912456e-02
2.080160321e+02 1.189479537e+01 4.853651951e+00 6.787353075e-02
2.086172345e+02 1.189533691e+01 4.854421143e+00 6.676621898e-02
2.092184369e+02 1.189586979e+01 4.855177969e+00 6.567689496e-02
2.098196393e+02 1.189639416e+01 4.855922626e+00 6.460526888e-02
2.104208417e+02 1.189691015e+01 4.856655306e+00 6.355105571e-02
2.110220441e+02 1.189741788e+01 4.857376199e+00 6.251397487e-02
2.116232465e+02 1.189791749e+01 4.858085490e+00 6.149375029e-02
2.122244489e+02 1.189840911e+01 4.858783363e+00 6.049011017e-02
2.128256513e+02 1.189889286e+01 4.859469999e+00 5.950278679e-02
2.134268537e+02 1.189936885e+01 4.860145574e+00 5.853151707e-02
2.140280561e+02 1.189983723e+01 4.860810264e+00 5.757604224e-02
2.146292585e+02 1.190029809e+01 4.861464240e+00 5.663610703e-02
2.152304609e+02 1.190075156e+01 4.862107673e+00 5.571146047e-02
2.158316633e+02 1.190119777e+01 4.862740732e+00 5.480185596e-02
2.164328657e+02 1.190163681e+01 4.863363579e+00 5.390705061e-02
2.170340681e+02 1.190206880e+01 4.863976379e+00 5.302680493e-02
2.176352705e+02 1.190249386e+01 4.864579291e+00 5.216088378e-02
2.182364729e+02 1.190291210e+01 4.865172471e+00 5.130905594e-02
2.188376754e+02 1.190332361e+01 4.865756075e+00 5.047109323e-02
2.194388778e+02 1.190372851e+01 4.866330255e+00 4.964677136e-02
2.200400802e+02 1.190412691e+01 4.866895161e+00 4.883586995e-02
2.206412826e+02 1.190451889e+01 4.867450940e+00 4.803817204e-02
2.212424850e+02 1.190490457e+01 4.867997737e+00 4.725346370e-02
2.218436874e+02 1.190528405e+01 4.868535697e+00 4.648153476e-02
2.224448898e+02 1.190565742e+01 4.869064960e+00 4.572217835e-02
2.230460922e+02 1.190602478e+01 4.869585666e+00 4.497519082e-02
2.236472946e+02 1.190638622e+01 4.870097950e+00 4.424037203e-02
2.242484970e+02 1.190674184e+01 4.870601947e+00 4.351752481e-02
2.248496994e+02 1.190709173e+01 4.871097789e+00 4.280645517e-02
2.254509018e+02 1.190743598e+01 4.871585608e+00 4.210697241e-02
2.260521042e+02 1.190777469e+01 4.872065530e+00 4.141888864e-02
2.266533066e+02 1.190810793e+01 4.872537683e+00 4.074201909e-02
2.272545090e+02 1.190843579e+01 4.873002190e+00 4.007618211e-02
2.278557114e+02 1.190875837e+01 4.873459175e+00 3.942119860e-02
2.284569138e+02 1.190907574e+01 4.873908757e+00 3.877689265e-02
2.290581162e+02 1.190938799e+01 4.874351056e+00 3.814309109e-02
2.296593186e+02 1.190969520e+01 4.874786187e+00 3.751962322e-02
2.302605210e+02 1.190999745e+01 4.875214267e+00 3.690632142e-02
2.308617234e+02 1.191029481e+01 4.875635407e+00 3.630302084e-02
2.314629259e+02 1.191058737e+01 4.876049720e+00 3.570955935e-02
