time            Cj              shCj           
4.909819639e+02 1.460210087e+00 7.922216694e-02
4.929859719e+02 1.459683960e+00 7.869850405e-02
4.949899800e+02 1.459161500e+00 7.817848915e-02
4.969939880e+02 1.458642677e+00 7.766209453e-02
4.989979960e+02 1.458127464e+00 7.714929256e-02
5.010020040e+02 1.457615833e+00 7.664005583e-02
5.030060120e+02 1.457107758e+00 7.613435715e-02
5.050100200e+02 1.456603211e+00 7.563216957e-02
5.070140281e+02 1.456102164e+00 7.513346621e-02
5.090180361e+02 1.455604592e+00 7.463822051e-02
5.110220441e+02 1.455110466e+00 7.414640614e-02
5.130260521e+02 1.454619762e+00 7.365799694e-02
5.150300601e+02 1.454132453e+00 7.317296692e-02
5.170340681e+02 1.453648511e+00 7.269129029e-02
5.190380762e+02 1.453167913e+00 7.221294145e-02
5.210420842e+02 1.452690633e+00 7.173789618e-02
5.230460922e+02 1.452216648e+00 7.126613041e-02
5.250501002e+02 1.451745932e+00 7.079761869e-02
5.270541082e+02 1.451278460e+00 7.033233666e-02
5.290581162e+02 1.450814209e+00 6.987026022e-02
5.310621242e+02 1.450353154e+00 6.941136554e-02
5.330661323e+02 1.449895271e+00 6.895562899e-02
5.350701403e+02 1.449440536e+00 6.850302609e-02
5.370741483e+02 1.448988927e+00 6.805353408e-02
5.390781563e+02 1.448540420e+00 6.760712991e-02
5.410821643e+02 1.448094993e+00 6.716379072e-02
5.430861723e+02 1.447652622e+00 6.672349385e-02
5.450901804e+02 1.447213287e+00 6.628621688e-02
5.470941884e+02 1.446776963e+00 6.585193702e-02
5.490981964e+02 1.446343626e+00 6.542063141e-02
5.511022044e+02 1.445913257e+00 6.499227853e-02
5.531062124e+02 1.445485832e+00 6.456685645e-02
5.551102204e+02 1.445061331e+00 6.414434341e-02
5.571142285e+02 1.444639731e+00 6.372471780e-02
5.591182365e+02 1.444221010e+00 6.330795816e-02
5.611222445e+02 1.443805149e+00 6.289404385e-02
5.631262525e+02 1.443392124e+00 6.248295359e-02
5.651302605e+02 1.442981917e+00 6.207466641e-02
5.671342685e+02 1.442574504e+00 6.166916157e-02
5.691382766e+02 1.442169867e+00 6.126641850e-02
5.711422846e+02 1.441767983e+00 6.086641675e-02
5.731462926e+02 1.441368832e+00 6.046913636e-02
5.751503006e+02 1.440972398e+00 6.007455801e-02
5.771543086e+02 1.440578657e+00 5.968266141e-02
5.791583166e+02 1.440187591e+00 5.929342695e-02
5.811623246e+02 1.439799179e+00 5.890683517e-02
5.831663327e+02 1.439413404e+00 5.852286681e-02
5.851703407e+02 1.439030244e+00 5.814150276e-02
5.871743487e+02 1.438649682e+00 5.776272396e-02
5.891783567e+02 1.438271698e+00 5.738651165e-02
5.911823647e+02 1.437896274e+00 5.701284722e-02
5.931863727e+02 1.437523391e+00 5.664171223e-02
5.951903808e+02 1.437153032e+00 5.627308838e-02
5.971943888e+02 1.436785177e+00 5.590695754e-02
5.991983968e+02 1.436419809e+00 5.554330154e-02
6.012024048e+02 1.436056908e+00 5.518210176e-02
6.032064128e+02 1.435696457e+00 5.482334098e-02
6.052104208e+02 1.435338439e+00 5.446700158e-02
6.072144289e+02 1.434982836e+00 5.411306608e-02
6.092184369e+02 1.434629631e+00 5.376151712e-02
6.112224449e+02 1.434278807e+00 5.341233751e-02
6.132264529e+02 1.433930346e+00 5.306551017e-02
6.152304609e+02 1.433584231e+00 5.272101816e-02
6.172344689e+02 1.433240447e+00 5.237884486e-02
6.192384770e+02 1.432898974e+00 5.203897351e-02
6.212424850e+02 1.432559799e+00 5.170138759e-02
6.232464930e+02 1.432222903e+00 5.136607071e-02
6.252505010e+02 1.431888270e+00 5.103300661e-02
6.272545090e+02 1.431555885e+00 5.070217915e-02
6.292585170e+02 1.431225732e+00 5.037357233e-02
6.312625251e+02 1.430897793e+00 5.004717026e-02
6.332665331e+02 1.430572054e+00 4.972295703e-02
6.352705411e+02 1.430248499e+00 4.940091701e-02
6.372745491e+02 1.429927111e+00 4.908103469e-02
6.392785571e+02 1.429607875e+00 4.876329463e-02
6.412825651e+02 1.429290777e+00 4.844768152e-02
6.432865731e+02 1.428975800e+00 4.813418015e-02
6.452905812e+02 1.428662929e+00 4.782277542e-02
6.472945892e+02 1.428352150e+00 4.751345234e-02
6.492985972e+02 1.428043448e+00 4.720619652e-02
6.513026052e+02 1.427736808e+00 4.690099361e-02
6.533066132e+02 1.427432216e+00 4.659782863e-02
6.553106212e+02 1.427129658e+00 4.629668718e-02
6.573146293e+02 1.426829117e+00 4.599755493e-02
6.593186373e+02 1.426530581e+00 4.570041770e-02
6.613226453e+02 1.426234036e+00 4.540526139e-02
6.633266533e+02 1.425939466e+00 4.511207205e-02
6.653306613e+02 1.425646859e+00 4.482083569e-02
