time            Ap              Br              Cj              Aq              Bs              Ck             
1.367735471e+04 5.719031773e+00 3.384917339e+00 1.883789262e+00 5.729788290e+00 3.371554298e+00 1.885302742e+00
1.374749499e+04 5.529642322e+00 3.656976728e+00 1.802523981e+00 5.541052241e+00 3.643205465e+00 1.803281180e+00
1.381763527e+04 5.309941297e+00 3.939015616e+00 1.741760021e+00 5.321717282e+00 3.925120433e+00 1.741766653e+00
1.388777555e+04 5.065816540e+00 4.226090294e+00 1.700694220e+00 5.077693024e+00 4.212398624e+00 1.699946503e+00
1.395791583e+04 4.803558706e+00 4.512662279e+00 1.678678091e+00 4.815299076e+00 4.499530989e+00 1.677162303e+00
1.402805611e+04 4.529596909e+00 4.792816606e+00 1.675250003e+00 4.540998159e+00 4.780614065e+00 1.672942546e+00
1.409819639e+04 4.250225210e+00 5.060515752e+00 1.690148085e+00 4.261120187e+00 5.049601324e+00 1.687016064e+00
1.416833667e+04 3.971345382e+00 5.309862423e+00 1.723305991e+00 3.981602846e+00 5.300565485e+00 1.719308374e+00
1.423847695e+04 3.698250748e+00 5.535344666e+00 1.774832815e+00 3.707773576e+00 5.527945389e+00 1.769922238e+00
1.430861723e+04 3.435469527e+00 5.732042456e+00 1.844977821e+00 3.444191484e+00 5.726756298e+00 1.839103155e+00
1.437875752e+04 3.186677205e+00 5.895783659e+00 1.934080153e+00 3.194558725e+00 5.892750933e+00 1.927189935e+00
1.444889780e+04 2.954677389e+00 6.023247092e+00 2.042503647e+00 2.961700805e+00 6.022528206e+00 2.034550461e+00
1.451903808e+04 2.741442362e+00 6.112018590e+00 2.170557288e+00 2.747606973e+00 6.113594813e+00 2.161503133e+00
1.458917836e+04 2.548199301e+00 6.160610745e+00 2.318402853e+00 2.553516592e+00 6.164389770e+00 2.308225442e+00
1.465931864e+04 2.375545830e+00 6.168458479e+00 2.485952908e+00 2.380035064e+00 6.174283695e+00 2.474652713e+00
1.472945892e+04 2.223579499e+00 6.135900039e+00 2.672764462e+00 2.227263823e+00 6.143562271e+00 2.660372139e+00
