time            Cj              Ck              Br              Bs              Ap              Aq             
3.587174349e+03 1.111583377e+00 1.101731575e+00 4.654140797e+00 4.666779323e+00 2.552378076e+00 2.531960758e+00
3.607214429e+03 1.160542934e+00 1.149116999e+00 4.805883988e+00 4.814163057e+00 2.373228250e+00 2.354465323e+00
3.627254509e+03 1.219187817e+00 1.206086337e+00 4.937892008e+00 4.941612651e+00 2.204092546e+00 2.186983351e+00
3.647294589e+03 1.287928897e+00 1.273049333e+00 5.048262575e+00 5.047336855e+00 2.045939772e+00 2.030460389e+00
3.667334669e+03 1.367195728e+00 1.350438813e+00 5.135459422e+00 5.129909395e+00 1.899398251e+00 1.885507069e+00
3.687374749e+03 1.457411751e+00 1.438686849e+00 5.198324980e+00 5.188276918e+00 1.764796542e+00 1.752439452e+00
3.707414830e+03 1.558965261e+00 1.538196727e+00 5.236084291e+00 5.221759077e+00 1.642210316e+00 1.631325391e+00
3.727454910e+03 1.672176307e+00 1.649310809e+00 5.248343489e+00 5.230044169e+00 1.531511561e+00 1.522033162e+00
3.747494990e+03 1.797260039e+00 1.772274714e+00 5.235085384e+00 5.213182897e+00 1.432416920e+00 1.424279208e+00
3.767535070e+03 1.934287541e+00 1.907198728e+00 5.196663847e+00 5.171581826e+00 1.344532856e+00 1.337672716e+00
3.787575150e+03 2.083145737e+00 2.054017905e+00 5.133797311e+00 5.105996744e+00 1.267396179e+00 1.261755616e+00
3.807615230e+03 2.243498452e+00 2.212452779e+00 5.047560524e+00 5.017524865e+00 1.200509081e+00 1.196037144e+00
3.827655311e+03 2.414751386e+00 2.381973318e+00 4.939372753e+00 4.907593941e+00 1.143368549e+00 1.140022839e+00
3.847695391e+03 2.596023850e+00 2.561768881e+00 4.810979864e+00 4.777945562e+00 1.095490301e+00 1.093238137e+00
3.867735471e+03 2.786130327e+00 2.750727190e+00 4.664427833e+00 4.630610127e+00 1.056427717e+00 1.055247035e+00
3.887775551e+03 2.983574724e+00 2.947425243e+00 4.502025662e+00 4.467871368e+00 1.025786377e+00 1.025666382e+00
3.907815631e+03 3.186559105e+00 3.150134113e+00 4.326296747e+00 4.292219430e+00 1.003234805e+00 1.004176447e+00
3.927855711e+03 3.393008126e+00 3.356839098e+00 4.139919159e+00 4.106292933e+00 9.885120729e-01 9.905283561e-01
3.947895792e+03 3.600608667e+00 3.565275084e+00 3.945656873e+00 3.912812001e+00 9.814327711e-01 9.845489188e-01
3.967935872e+03 3.806862945e+00 3.772975773e+00 3.746285380e+00 3.714505645e+00 9.818898016e-01 9.861432688e-01
3.987975952e+03 4.009151967e+00 3.977334048e+00 3.544516148e+00 3.514037933e+00 9.898552910e-01 9.952956101e-01
4.008016032e+03 4.204805243e+00 4.175669729e+00 3.342924827e+00 3.313937744e+00 1.005379824e+00 1.012068247e+00
4.028056112e+03 4.391172189e+00 4.365300364e+00 3.143887842e+00 3.116536750e+00 1.028590053e+00 1.036598943e+00
4.048096192e+03 4.565690749e+00 4.543610689e+00 2.949531216e+00 2.923919377e+00 1.059684639e+00 1.069096539e+00
4.068136273e+03 4.725949368e+00 4.708116801e+00 2.761694183e+00 2.737887302e+00 1.098928347e+00 1.109834650e+00
4.088176353e+03 4.869739649e+00 4.856522150e+00 2.581908593e+00 2.559939474e+00 1.146644054e+00 1.159143171e+00
4.108216433e+03 4.995098218e+00 4.986763584e+00 2.411393843e+00 2.391267379e+00 1.203202322e+00 1.217397259e+00
4.128256513e+03 5.100337700e+00 5.097046931e+00 2.251065655e+00 2.232763937e+00 1.269008203e+00 1.285003414e+00
4.148296593e+03 5.184067848e+00 5.185872826e+00 2.101556319e+00 2.085043635e+00 1.344484881e+00 1.362382329e+00
4.168336673e+03 5.245208656e+00 5.252054234e+00 1.963243469e+00 1.948471045e+00 1.430053876e+00 1.449948194e+00
4.188376754e+03 5.282997659e+00 5.294727651e+00 1.836284409e+00 1.823194773e+00 1.526111621e+00 1.548084350e+00
4.208416834e+03 5.296993545e+00 5.313359916e+00 1.720653227e+00 1.709184130e+00 1.633002449e+00 1.657115358e+00
4.228456914e+03 5.287077781e+00 5.307752283e+00 1.616178315e+00 1.606266165e+00 1.750988306e+00 1.777275885e+00
4.248496994e+03 5.253455209e+00 5.278042686e+00 1.522578456e+00 1.514161270e+00 1.880215885e+00 1.908677213e+00
4.268537074e+03 5.196653670e+00 5.224706326e+00 1.439496148e+00 1.432516043e+00 2.020682282e+00 2.051272573e+00
4.288577154e+03 5.117521843e+00 5.148553848e+00 1.366527349e+00 1.360932609e+00 2.172200766e+00 2.204823034e+00
4.308617234e+03 5.017223710e+00 5.050725628e+00 1.303247238e+00 1.298993995e+00 2.334368674e+00 2.368866082e+00
4.328657315e+03 4.897227588e+00 4.932680186e+00 1.249231903e+00 1.246285487e+00 2.506539745e+00 2.542689294e+00
4.348697395e+03 4.759287580e+00 4.796174677e+00 1.204076122e+00 1.202412128e+00 2.687803451e+00 2.725311734e+00
4.368737475e+03 4.605415620e+00 4.643235692e+00 1.167407528e+00 1.167012633e+00 2.876973690e+00 2.915475403e+00
