time            HelperCCj       sHelperCCj      dispC          
5.662124248e+04 9.424050218e+01 1.345403837e+02 1.535322357e+01
5.682565130e+04 9.418265915e+01 1.344895899e+02 1.540255781e+01
5.703006012e+04 9.412569707e+01 1.344388277e+02 1.545181126e+01
5.723446894e+04 9.406958981e+01 1.343880969e+02 1.550098290e+01
5.743887776e+04 9.401431202e+01 1.343373974e+02 1.555007168e+01
5.764328657e+04 9.395983914e+01 1.342867292e+02 1.559907651e+01
5.784769539e+04 9.390614736e+01 1.342360922e+02 1.564799628e+01
5.805210421e+04 9.385321363e+01 1.341854863e+02 1.569682984e+01
5.825651303e+04 9.380101562e+01 1.341349115e+02 1.574557602e+01
5.846092184e+04 9.374953168e+01 1.340843676e+02 1.579423361e+01
5.866533066e+04 9.369874089e+01 1.340338546e+02 1.584280137e+01
5.886973948e+04 9.364862298e+01 1.339833724e+02 1.589127803e+01
5.907414830e+04 9.359915832e+01 1.339329210e+02 1.593966227e+01
5.927855711e+04 9.355032793e+01 1.338825001e+02 1.598795277e+01
5.948296593e+04 9.350211345e+01 1.338321098e+02 1.603614816e+01
5.968737475e+04 9.345449709e+01 1.337817499e+02 1.608424703e+01
5.989178357e+04 9.340746165e+01 1.337314204e+02 1.613224794e+01
6.009619238e+04 9.336099049e+01 1.336811212e+02 1.618014943e+01
6.030060120e+04 9.331506752e+01 1.336308522e+02 1.622794999e+01
6.050501002e+04 9.326967716e+01 1.335806133e+02 1.627564809e+01
6.070941884e+04 9.322480434e+01 1.335304043e+02 1.632324214e+01
6.091382766e+04 9.318043448e+01 1.334802253e+02 1.637073055e+01
6.111823647e+04 9.313655347e+01 1.334300761e+02 1.641811167e+01
6.132264529e+04 9.309314768e+01 1.333799567e+02 1.646538381e+01
6.152705411e+04 9.305020389e+01 1.333298668e+02 1.651254528e+01
6.173146293e+04 9.300770932e+01 1.332798065e+02 1.655959431e+01
6.193587174e+04 9.296565160e+01 1.332297756e+02 1.660652912e+01
6.214028056e+04 9.292401877e+01 1.331797740e+02 1.665334789e+01
6.234468938e+04 9.288279923e+01 1.331298017e+02 1.670004876e+01
6.254909820e+04 9.284198177e+01 1.330798585e+02 1.674662983e+01
6.275350701e+04 9.280155552e+01 1.330299443e+02 1.679308917e+01
6.295791583e+04 9.276150996e+01 1.329800589e+02 1.683942481e+01
6.316232465e+04 9.272183491e+01 1.329302024e+02 1.688563475e+01
6.336673347e+04 9.268252049e+01 1.328803746e+02 1.693171693e+01
6.357114228e+04 9.264355715e+01 1.328305754e+02 1.697766929e+01
6.377555110e+04 9.260493561e+01 1.327808046e+02 1.702348970e+01
6.397995992e+04 9.256664691e+01 1.327310621e+02 1.706917601e+01
6.418436874e+04 9.252868233e+01 1.326813479e+02 1.711472603e+01
6.438877756e+04 9.249103342e+01 1.326316619e+02 1.716013753e+01
6.459318637e+04 9.245369202e+01 1.325820038e+02 1.720540825e+01
6.479759519e+04 9.241665017e+01 1.325323736e+02 1.725053590e+01
6.500200401e+04 9.237990019e+01 1.324827711e+02 1.729551814e+01
6.520641283e+04 9.234343459e+01 1.324331963e+02 1.734035261e+01
6.541082164e+04 9.230724612e+01 1.323836490e+02 1.738503691e+01
6.561523046e+04 9.227132775e+01 1.323341291e+02 1.742956860e+01
6.581963928e+04 9.223567263e+01 1.322846364e+02 1.747394523e+01
6.602404810e+04 9.220027413e+01 1.322351709e+02 1.751816430e+01
6.622845691e+04 9.216512580e+01 1.321857323e+02 1.756222329e+01
6.643286573e+04 9.213022138e+01 1.321363206e+02 1.760611966e+01
6.663727455e+04 9.209555477e+01 1.320869357e+02 1.764985083e+01
6.684168337e+04 9.206112006e+01 1.320375773e+02 1.769341419e+01
6.704609218e+04 9.202691148e+01 1.319882453e+02 1.773680714e+01
6.725050100e+04 9.199292345e+01 1.319389396e+02 1.778002704e+01
6.745490982e+04 9.195915052e+01 1.318896601e+02 1.782307122e+01
6.765931864e+04 9.192558739e+01 1.318404066e+02 1.786593702e+01
6.786372745e+04 9.189222891e+01 1.317911790e+02 1.790862174e+01
6.806813627e+04 9.185907006e+01 1.317419771e+02 1.795112271e+01
6.827254509e+04 9.182610596e+01 1.316928007e+02 1.799343723e+01
6.847695391e+04 9.179333186e+01 1.316436498e+02 1.803556258e+01
6.868136273e+04 9.176074311e+01 1.315945241e+02 1.807749607e+01
6.888577154e+04 9.172833520e+01 1.315454235e+02 1.811923502e+01
6.909018036e+04 9.169610374e+01 1.314963478e+02 1.816077672e+01
6.929458918e+04 9.166404443e+01 1.314472970e+02 1.820211853e+01
6.949899800e+04 9.163215310e+01 1.313982707e+02 1.824325778e+01
6.970340681e+04 9.160042567e+01 1.313492689e+02 1.828419184e+01
6.990781563e+04 9.156885816e+01 1.313002913e+02 1.832491812e+01
7.011222445e+04 9.153744670e+01 1.312513379e+02 1.836543406e+01
7.031663327e+04 9.150618749e+01 1.312024084e+02 1.840573712e+01
7.052104208e+04 9.147507685e+01 1.311535026e+02 1.844582484e+01
7.072545090e+04 9.144411117e+01 1.311046205e+02 1.848569478e+01
7.092985972e+04 9.141328693e+01 1.310557617e+02 1.852534459e+01
7.113426854e+04 9.138260070e+01 1.310069262e+02 1.856477196e+01
7.133867735e+04 9.135204910e+01 1.309581138e+02 1.860397465e+01
7.154308617e+04 9.132162887e+01 1.309093241e+02 1.864295053e+01
7.174749499e+04 9.129133680e+01 1.308605572e+02 1.868169752e+01
7.195190381e+04 9.126116977e+01 1.308118128e+02 1.872021366e+01
7.215631263e+04 9.123112470e+01 1.307630907e+02 1.875849709e+01
7.236072144e+04 9.120119861e+01 1.307143906e+02 1.879654603e+01
7.256513026e+04 9.117138858e+01 1.306657125e+02 1.883435884e+01
7.276953908e+04 9.114169175e+01 1.306170561e+02 1.887193401e+01
7.297394790e+04 9.111210533e+01 1.305684213e+02 1.890927014e+01
7.317835671e+04 9.108262658e+01 1.305198078e+02 1.894636598e+01
7.338276553e+04 9.105325285e+01 1.304712154e+02 1.898322044e+01
7.358717435e+04 9.102398150e+01 1.304226439e+02 1.901983254e+01
7.379158317e+04 9.099481000e+01 1.303740931e+02 1.905620150e+01
7.399599198e+04 9.096573585e+01 1.303255629e+02 1.909232670e+01
7.420040080e+04 9.093675661e+01 1.302770530e+02 1.912820768e+01
7.440480962e+04 9.090786989e+01 1.302285632e+02 1.916384414e+01
7.460921844e+04 9.087907336e+01 1.301800933e+02 1.919923601e+01
7.481362725e+04 9.085036474e+01 1.301316431e+02 1.923438338e+01
7.501803607e+04 9.082174181e+01 1.300832124e+02 1.926928654e+01
7.522244489e+04 9.079320238e+01 1.300348009e+02 1.930394598e+01
7.542685371e+04 9.076474433e+01 1.299864086e+02 1.933836238e+01
7.563126253e+04 9.073636558e+01 1.299380351e+02 1.937253664e+01
7.583567134e+04 9.070806411e+01 1.298896802e+02 1.940646984e+01
7.604008016e+04 9.067983792e+01 1.298413437e+02 1.944016329e+01
